crop_rel,src_rel,pillId,side,kind,method,orig_w,orig_h,x0,y0,x1,y1,margin,img_size,mask_frac,sam_score
data/processed/cure_crops/0/bottom/customer/0_bottom_22.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_22.jpg,0,bottom,customer,sam,2448,2448,983,1057,1393,1468,0.15,384,0.013144,0.925167
data/processed/cure_crops/0/bottom/customer/0_bottom_23.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_23.jpg,0,bottom,customer,sam,2448,2448,1157,1110,1532,1485,0.15,384,0.011022,0.97233
data/processed/cure_crops/0/bottom/customer/0_bottom_24.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_24.jpg,0,bottom,customer,manual,2448,2448,1220,1185,1597,1562,0.15,384,0.186773,0.399124
data/processed/cure_crops/0/bottom/customer/0_bottom_28.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_28.jpg,0,bottom,customer,manual,2448,2448,969,1166,1269,1472,0.15,384,0.011058,0.232467
data/processed/cure_crops/0/bottom/customer/0_bottom_30.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_30.jpg,0,bottom,customer,manual,2448,2448,1088,1694,1443,2009,0.15,384,0.142972,0.370534
data/processed/cure_crops/0/bottom/customer/0_bottom_31.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_31.jpg,0,bottom,customer,manual,2448,2448,1088,1436,1394,1726,0.15,384,0.181282,0.35189
data/processed/cure_crops/0/bottom/customer/0_bottom_32.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_32.jpg,0,bottom,customer,sam,640,640,233,216,499,483,0.15,384,0.082119,0.98555
data/processed/cure_crops/0/bottom/customer/0_bottom_33.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_33.jpg,0,bottom,customer,sam,640,640,192,153,466,426,0.15,384,0.085186,1.014761
data/processed/cure_crops/0/bottom/customer/0_bottom_34.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_34.jpg,0,bottom,customer,sam,640,640,228,208,494,478,0.15,384,0.081746,0.983923
data/processed/cure_crops/0/bottom/customer/0_bottom_35.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_35.jpg,0,bottom,customer,sam,640,640,256,237,518,501,0.15,384,0.078669,0.96592
data/processed/cure_crops/0/bottom/customer/0_bottom_36.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_36.jpg,0,bottom,customer,sam,640,640,222,162,493,434,0.15,384,0.083643,1.014236
data/processed/cure_crops/0/bottom/customer/0_bottom_37.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_37.jpg,0,bottom,customer,manual,640,640,314,288,526,503,0.15,384,0.196284,0.439958
data/processed/cure_crops/0/bottom/customer/0_bottom_38.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_38.jpg,0,bottom,customer,sam,640,640,237,220,503,487,0.15,384,0.081597,0.993696
data/processed/cure_crops/0/bottom/customer/0_bottom_39.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_39.jpg,0,bottom,customer,sam,640,640,166,170,442,443,0.15,384,0.08584,1.016224
data/processed/cure_crops/0/bottom/customer/0_bottom_40.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Customer/0_bottom_40.jpg,0,bottom,customer,sam,640,640,155,196,425,463,0.15,384,0.082773,0.991382
data/processed/cure_crops/0/bottom/ref/0_ref_bottom.png,data/raw/CURE_dataset/Pill_Images/0/bottom/Reference/0_ref_bottom.bmp,0,bottom,ref,classical,2448,2448,1141,1160,1495,1500,0.15,384,0.009067,
data/processed/cure_crops/0/top/customer/0_top_0.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_0.jpg,0,top,customer,manual,2448,2448,885,1285,1246,1613,0.15,384,0.01964,0.347839
data/processed/cure_crops/0/top/customer/0_top_10.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_10.jpg,0,top,customer,sam,640,640,182,131,458,406,0.15,384,0.086833,1.024071
data/processed/cure_crops/0/top/customer/0_top_11.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_11.jpg,0,top,customer,sam,640,640,218,210,490,483,0.15,384,0.084805,1.011294
data/processed/cure_crops/0/top/customer/0_top_12.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_12.jpg,0,top,customer,sam,640,640,170,122,445,396,0.15,384,0.086294,1.022807
data/processed/cure_crops/0/top/customer/0_top_13.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_13.jpg,0,top,customer,manual,640,640,294,260,529,492,0.15,384,0.44186,0.718212
data/processed/cure_crops/0/top/customer/0_top_14.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_14.jpg,0,top,customer,sam,640,640,235,169,506,444,0.15,384,0.085239,1.023845
data/processed/cure_crops/0/top/customer/0_top_15.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_15.jpg,0,top,customer,sam,640,640,276,200,539,472,0.15,384,0.081409,1.017424
data/processed/cure_crops/0/top/customer/0_top_16.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_16.jpg,0,top,customer,sam,640,640,199,156,474,432,0.15,384,0.087046,1.010081
data/processed/cure_crops/0/top/customer/0_top_17.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_17.jpg,0,top,customer,manual,640,640,211,154,440,405,0.15,384,0.01147,0.890707
data/processed/cure_crops/0/top/customer/0_top_18.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_18.jpg,0,top,customer,sam,640,640,183,117,458,390,0.15,384,0.085955,1.024299
data/processed/cure_crops/0/top/customer/0_top_19.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_19.jpg,0,top,customer,sam,640,640,251,244,517,511,0.15,384,0.081274,1.019852
data/processed/cure_crops/0/top/customer/0_top_2.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_2.jpg,0,top,customer,sam,2448,2448,950,981,1342,1373,0.15,384,0.011988,1.00576
data/processed/cure_crops/0/top/customer/0_top_20.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_20.jpg,0,top,customer,manual,640,640,325,206,540,432,0.15,384,0.370845,0.531085
data/processed/cure_crops/0/top/customer/0_top_21.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_21.jpg,0,top,customer,manual,640,640,186,174,424,417,0.15,384,0.010911,0.888643
data/processed/cure_crops/0/top/customer/0_top_4.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_4.jpg,0,top,customer,sam,2448,2448,978,994,1466,1486,0.15,384,0.018684,0.879867
data/processed/cure_crops/0/top/customer/0_top_5.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_5.jpg,0,top,customer,sam,2448,2448,972,1071,1473,1567,0.15,384,0.019222,0.972861
data/processed/cure_crops/0/top/customer/0_top_7.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_7.jpg,0,top,customer,sam,2448,2448,1087,959,1501,1370,0.15,384,0.013342,0.993234
data/processed/cure_crops/0/top/customer/0_top_8.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_8.jpg,0,top,customer,sam,2448,2448,940,1054,1311,1424,0.15,384,0.010721,0.997379
data/processed/cure_crops/0/top/customer/0_top_9.png,data/raw/CURE_dataset/Pill_Images/0/top/Customer/0_top_9.jpg,0,top,customer,sam,2448,2448,1042,926,1420,1304,0.15,384,0.011252,1.000186
data/processed/cure_crops/0/top/ref/0_ref_top.png,data/raw/CURE_dataset/Pill_Images/0/top/Reference/0_ref_top.bmp,0,top,ref,classical,2448,2448,1245,1177,1642,1554,0.15,384,0.011609,
data/processed/cure_crops/1/bottom/customer/1_bottom_53.png,data/raw/CURE_dataset/Pill_Images/1/bottom/Customer/1_bottom_53.jpg,1,bottom,customer,manual,2448,2448,956,824,1259,1130,0.15,384,0.052053,0.384101
data/processed/cure_crops/1/bottom/customer/1_bottom_57.png,data/raw/CURE_dataset/Pill_Images/1/bottom/Customer/1_bottom_57.jpg,1,bottom,customer,sam,2448,2448,1016,1143,1403,1529,0.15,384,0.011761,0.999041
data/processed/cure_crops/1/bottom/customer/1_bottom_58.png,data/raw/CURE_dataset/Pill_Images/1/bottom/Customer/1_bottom_58.jpg,1,bottom,customer,sam,2448,2448,1145,932,1538,1335,0.15,384,0.012283,0.988363
data/processed/cure_crops/1/bottom/customer/1_bottom_59.png,data/raw/CURE_dataset/Pill_Images/1/bottom/Customer/1_bottom_59.jpg,1,bottom,customer,manual,2448,2448,1298,1082,1626,1443,0.15,384,0.071357,0.284986
data/processed/cure_crops/1/bottom/customer/1_bottom_61.png,data/raw/CURE_dataset/Pill_Images/1/bottom/Customer/1_bottom_61.jpg,1,bottom,customer,manual,2448,2448,1281,908,1674,1301,0.15,384,0.12563,0.326048
